unicef_region,iso3,country,vaccine,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Eastern & Southern Africa,LSO,Lesotho,DTP3,87,87,87,87,87,83,88,93,95,96,93,91,88,88,89,89,90,90,84,78,83,88,88,87,87,88,87,86,85,84,82,81,80,79,81,82,74,66,61,56,56
West & Central Africa,LBR,Liberia,DTP3,65,70,80,80,73,65,63,80,80,77,70,81,75,65,60,60,31,35,39,42,46,50,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,LBY,Libya,DTP3,73,73,73,96,97,97,94,96,98,98,98,98,98,98,98,98,97,95,93,94,94,94,95,96,96,95,95,96,90,87,84,87,84,82,82,81,81,79,72,67,60
Western Europe,LTU,Lithuania,DTP3,91,92,92,94,94,93,93,93,93,92,95,98,96,95,94,94,94,94,95,95,94,93,93,90,91,90,83,83,78,,,,,,,,,,,,
Western Europe,LUX,Luxembourg,DTP3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,99,98,98,98,98,97,95,94,93,91,90,90,90,95,86,77,68,75,,,
Eastern & Southern Africa,MDG,Madagascar,DTP3,68,70,66,65,68,62,68,70,68,73,70,77,77,84,85,85,78,66,62,60,57,55,52,49,49,57,66,66,65,53,46,45,42,35,30,23,19,23,15,,
Eastern & Southern Africa,MWI,Malawi,DTP3,94,95,92,88,84,88,91,89,96,97,93,93,91,87,99,93,89,84,64,90,75,85,96,95,90,89,82,91,87,87,87,87,82,78,57,55,58,63,64,66,58
East Asia & Pacific,MYS,Malaysia,DTP3,98,98,99,99,95,99,97,97,97,96,96,97,97,97,95,96,95,96,94,96,98,97,97,98,97,98,95,91,94,92,90,84,68,69,62,57,54,58,73,66,67
South Asia,MDV,Maldives,DTP3,99,98,99,99,99,99,99,99,99,96,96,98,98,98,98,98,96,98,98,98,98,97,97,97,97,94,96,90,98,98,94,91,86,42,42,28,24,13,1,1,4
West & Central Africa,MLI,Mali,DTP3,70,77,77,77,76,71,66,64,65,66,73,73,74,74,78,77,69,63,61,49,43,40,52,52,53,49,39,46,38,34,42,26,18,8,8,8,,,,,
Western Europe,MLT,Malta,DTP3,98,98,97,98,97,97,99,99,99,96,76,73,72,74,85,92,89,94,95,95,94,93,92,92,92,92,88,83,82,86,63,47,87,87,86,37,50,,,,
East Asia & Pacific,MHL,Marshall Islands,DTP3,,79,81,80,71,85,78,79,80,87,94,96,95,93,74,77,64,68,80,48,39,66,86,78,78,70,67,56,82,71,92,92,92,,,,,,,,
West & Central Africa,MRT,Mauritania,DTP3,71,81,81,81,74,73,81,80,80,75,64,64,74,75,68,71,70,76,89,75,51,53,16,28,50,55,50,44,39,29,33,28,28,30,32,27,21,20,20,18,
Eastern & Southern Africa,MUS,Mauritius,DTP3,93,96,97,94,96,97,97,98,98,98,99,99,99,97,97,97,98,99,88,92,88,85,89,90,89,93,89,88,88,91,85,85,86,84,86,88,85,89,94,82,89
Latin America & Caribbean,MEX,Mexico,DTP3,74,82,88,85,93,87,87,83,99,97,95,95,96,98,98,98,98,98,97,97,97,96,96,95,95,91,91,82,90,88,53,65,60,62,51,40,52,41,40,43,44
East Asia & Pacific,FSM,Micronesia (Federated States of),DTP3,83,78,75,73,69,72,77,81,81,84,85,91,85,79,67,94,78,92,84,75,85,76,80,75,79,83,81,78,91,79,85,95,85,57,,,,,,,
Western Europe,MCO,Monaco,DTP3,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,99,99,99,,,,,,,,
East Asia & Pacific,MNG,Mongolia,DTP3,96,98,99,99,99,99,99,98,99,99,96,95,96,95,99,99,99,98,98,95,94,94,94,92,90,88,78,79,64,81,84,84,82,80,81,80,77,79,79,78,76
Eastern Europe & Central Asia,MNE,Montenegro,DTP3,84,85,86,87,89,89,91,94,94,95,94,92,95,92,90,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,MAR,Morocco,DTP3,,99,99,99,99,99,99,99,99,99,99,99,99,95,97,98,97,91,94,96,95,91,93,94,95,90,87,86,87,81,81,80,82,85,63,51,45,41,32,,
Eastern & Southern Africa,MOZ,Mozambique,DTP3,79,88,88,88,88,88,88,85,81,78,74,74,75,75,78,80,83,85,76,73,70,68,65,62,60,57,55,49,50,46,46,47,38,39,32,29,32,38,43,56,
East Asia & Pacific,MMR,Myanmar,DTP3,84,90,91,89,90,89,88,75,84,84,90,90,85,86,82,73,82,78,79,73,82,75,90,90,88,84,77,73,71,66,88,50,28,23,20,16,12,11,9,5,4
Eastern & Southern Africa,NAM,Namibia,DTP3,,87,89,88,85,92,88,89,84,82,83,83,83,86,86,86,81,79,77,78,79,72,74,66,70,74,79,73,70,69,,,,,,,,,,,
East Asia & Pacific,NRU,Nauru,DTP3,95,96,90,87,97,91,95,87,79,99,99,99,99,99,72,80,80,80,80,95,44,64,72,50,53,56,60,63,67,70,74,75,67,55,61,67,67,,,,
South Asia,NPL,Nepal,DTP3,84,93,91,90,87,91,92,92,90,92,82,89,82,82,89,75,80,78,72,72,74,65,71,78,65,54,54,51,49,46,43,44,45,46,38,32,27,23,18,16,8
Western Europe,NLD,Netherlands,DTP3,,94,93,94,95,95,96,97,97,97,97,97,97,97,96,96,98,98,97,97,97,97,97,97,97,97,97,97,98,97,97,97,97,97,97,97,97,97,97,96,96
East Asia & Pacific,NZL,New Zealand,DTP3,92,92,93,94,92,92,93,92,93,95,93,92,89,88,89,89,89,90,90,90,90,88,81,86,88,89,84,83,81,81,90,80,69,67,70,72,83,73,73,72,76
Latin America & Caribbean,NIC,Nicaragua,DTP3,92,98,98,98,98,98,98,98,98,98,98,98,97,93,88,86,79,86,85,87,83,79,73,80,80,80,81,81,81,75,70,68,47,51,45,39,33,24,27,23,16
West & Central Africa,NER,Niger,DTP3,81,81,79,85,80,84,81,73,71,75,70,71,67,57,51,45,43,41,39,36,34,32,29,25,23,23,20,20,20,19,22,13,9,7,5,4,5,5,6,6,
West & Central Africa,NGA,Nigeria,DTP3,57,57,56,55,53,42,43,43,42,48,54,63,53,42,40,36,33,29,25,27,29,31,32,21,26,34,44,29,43,39,56,47,36,29,22,16,9,,,,
East Asia & Pacific,NIU,Niue,DTP3,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,85,99,95,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,81,62,43,31,20,8,7
Western Europe,NOR,Norway,DTP3,97,97,96,96,96,95,93,94,95,94,93,94,94,93,94,91,92,92,93,91,90,92,93,95,97,97,93,94,98,96,86,83,83,80,83,85,90,90,,,
Middle East & North Africa,OMN,Oman,DTP3,,99,99,99,99,99,99,98,98,99,99,98,99,99,98,99,99,99,99,99,99,99,99,99,99,99,97,97,99,95,98,98,90,89,82,60,45,31,24,19,18
South Asia,PAK,Pakistan,DTP3,77,84,80,75,75,72,69,65,64,63,52,52,53,54,59,63,68,66,63,61,59,57,54,52,46,58,39,37,42,50,54,40,38,36,34,30,23,15,5,3,2
East Asia & Pacific,PLW,Palau,DTP3,96,97,95,97,98,90,95,99,89,84,69,49,92,94,98,98,98,99,99,98,96,96,96,91,98,99,67,89,93,98,99,78,99,81,98,,,,,,
Latin America & Caribbean,PAN,Panama,DTP3,74,88,88,81,86,73,80,80,85,87,94,85,86,85,88,92,95,98,99,99,98,92,98,95,91,86,83,83,77,82,86,70,75,72,70,73,59,60,60,78,47
East Asia & Pacific,PNG,Papua New Guinea,DTP3,39,35,35,36,46,49,52,60,57,58,55,64,56,66,70,72,62,68,61,55,59,60,60,45,56,62,61,58,58,68,68,53,48,44,44,40,34,27,29,32,32
Latin America & Caribbean,PRY,Paraguay,DTP3,79,86,88,91,92,92,93,91,91,92,91,86,89,95,98,96,92,86,87,89,86,82,79,75,72,68,71,66,73,66,67,61,56,58,53,57,67,45,34,28,17
Latin America & Caribbean,PER,Peru,DTP3,,88,84,83,89,90,88,88,95,91,93,93,93,93,94,77,86,94,95,90,98,99,94,90,94,90,87,87,83,71,72,58,60,43,50,48,28,23,23,20,16
East Asia & Pacific,PHL,Philippines,DTP3,71,77,79,82,84,55,63,87,88,87,79,87,91,87,88,89,88,84,79,79,78,80,81,81,75,70,73,76,80,90,88,86,79,72,66,59,57,55,54,54,47
Western Europe,POL,Poland,DTP3,,95,95,96,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,97,96,96,95,95,95,96,96,96,96,95,94,95,95,95,96,96
Western Europe,PRT,Portugal,DTP3,,99,99,98,98,98,98,98,98,97,98,96,97,97,97,93,95,99,98,97,96,97,97,94,95,93,97,93,94,96,89,88,81,83,81,72,78,79,78,75,73
Middle East & North Africa,QAT,Qatar,DTP3,82,98,98,97,98,99,89,97,92,93,97,99,97,94,96,97,96,92,96,93,80,92,94,92,92,92,91,90,88,86,82,81,69,72,72,71,60,49,37,43,61
East Asia & Pacific,KOR,Republic of Korea,DTP3,,98,98,97,98,98,99,99,99,99,94,94,94,91,98,96,88,97,97,97,97,86,74,80,90,99,93,88,84,79,74,89,58,57,76,76,76,69,61,61,
Eastern Europe & Central Asia,MDA,Republic of Moldova,DTP3,86,91,93,88,89,87,90,90,92,93,90,85,90,92,97,98,98,98,97,97,95,97,97,97,97,96,86,70,84,,,,,,,,,,,,
Eastern Europe & Central Asia,MKD,Republic of North Macedonia,DTP3,,92,92,91,95,91,95,98,95,96,95,96,95,95,93,97,94,96,96,91,95,95,94,97,93,95,88,90,,,,,,,,,,,,,
Eastern Europe & Central Asia,ROU,Romania,DTP3,87,88,86,82,89,89,94,92,91,89,94,95,96,96,97,97,97,97,98,99,99,97,97,97,98,98,98,91,98,98,96,96,96,92,89,95,,,,,
Eastern Europe & Central Asia,RUS,Russian Federation,DTP3,97,97,97,97,97,97,97,97,97,97,97,98,98,98,98,98,97,96,97,96,96,95,91,88,84,78,88,79,73,,,,,,,,,,,,
Eastern & Southern Africa,RWA,Rwanda,DTP3,91,98,97,98,98,98,98,98,98,97,97,97,97,97,99,95,89,96,88,77,90,85,79,73,89,83,23,83,85,91,84,82,80,88,87,50,55,59,38,17,
Latin America & Caribbean,KNA,Saint Kitts and Nevis,DTP3,99,97,98,98,98,94,98,97,98,98,96,98,99,99,99,99,96,99,97,99,99,99,98,99,99,99,99,99,99,99,99,99,94,96,99,92,97,90,92,67,56
Latin America & Caribbean,LCA,Saint Lucia,DTP3,86,92,95,80,95,99,99,99,98,99,97,95,96,99,85,95,91,90,74,99,70,89,88,98,88,98,93,97,96,96,89,92,78,85,78,87,83,81,79,64,56
Latin America & Caribbean,VCT,Saint Vincent and the Grenadines,DTP3,97,97,97,99,99,99,98,97,96,96,99,99,99,99,99,99,99,99,99,99,98,95,99,99,99,97,99,99,99,99,98,98,98,97,95,90,86,80,67,32,26
East Asia & Pacific,WSM,Samoa,DTP3,79,58,34,74,80,84,81,85,82,82,78,64,39,65,50,59,63,90,92,90,98,97,99,96,95,94,93,92,91,79,90,66,90,93,94,89,96,89,87,66,29
Western Europe,SMR,San Marino,DTP3,89,88,90,88,86,85,84,86,89,92,90,90,91,91,92,96,95,96,96,97,98,99,99,99,99,99,88,99,99,99,99,99,99,99,99,99,99,99,,,
West & Central Africa,STP,Sao Tome and Principe,DTP3,,95,95,95,96,96,95,97,96,96,98,98,99,97,97,97,96,94,92,92,82,78,73,73,68,79,83,60,68,87,92,63,77,72,65,48,49,26,34,42,
Middle East & North Africa,SAU,Saudi Arabia,DTP3,95,96,96,98,98,98,98,98,98,98,98,98,98,96,96,96,96,95,95,97,95,93,94,92,93,96,95,94,91,91,92,96,89,89,86,81,76,67,62,53,41
West & Central Africa,SEN,Senegal,DTP3,91,95,92,93,93,89,89,92,91,92,89,86,88,94,89,84,87,73,60,52,52,60,59,59,70,80,57,58,59,51,51,47,59,57,54,,,,,,
Eastern Europe & Central Asia,SRB,Serbia,DTP3,,97,96,95,92,95,93,95,91,94,91,95,95,94,92,98,88,89,95,93,95,92,93,94,91,89,85,85,84,,,,,,,,,,,,
Eastern & Southern Africa,SYC,Seychelles,DTP3,97,99,99,97,96,97,99,98,98,99,99,99,99,99,99,99,99,99,99,96,98,99,99,98,99,97,96,96,96,98,99,97,94,89,94,86,95,97,55,13,
West & Central Africa,SLE,Sierra Leone,DTP3,91,95,93,90,84,86,83,92,91,89,86,84,77,64,64,65,65,73,53,38,44,43,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,SGP,Singapore,DTP3,,96,96,96,97,96,96,97,97,96,96,97,97,97,95,96,95,96,94,96,98,97,97,98,97,98,95,92,89,91,85,90,90,96,91,78,77,84,83,87,84
Western Europe,SVK,Slovakia,DTP3,97,97,96,96,96,96,97,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,
Western Europe,SVN,Slovenia,DTP3,95,95,93,94,94,95,95,95,96,96,96,96,97,97,97,95,94,95,93,92,91,92,91,94,98,98,98,98,98,,,,,,,,,,,,
East Asia & Pacific,SLB,Solomon Islands,DTP3,94,94,85,83,94,87,77,83,92,91,83,86,85,88,99,89,90,84,78,84,86,88,70,72,72,69,68,65,71,76,77,67,69,66,42,38,45,27,23,35,46
Eastern & Southern Africa,SOM,Somalia,DTP3,42,42,42,42,42,42,42,42,42,41,45,42,31,40,26,35,30,40,40,33,33,36,33,19,21,22,23,22,21,20,19,18,26,25,17,22,10,5,5,2,
Eastern & Southern Africa,ZAF,South Africa,DTP3,84,85,82,84,85,85,85,81,71,75,77,81,82,85,84,81,74,69,70,71,73,74,75,76,73,72,73,81,79,81,72,71,70,72,70,75,75,74,,,
Eastern & Southern Africa,SSD,South Sudan,DTP3,49,49,49,47,45,46,50,53,63,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,ESP,Spain,DTP3,98,96,96,95,97,97,97,96,96,97,97,96,97,96,98,96,97,98,98,96,95,95,95,94,90,90,88,87,84,86,86,93,93,77,88,79,95,,,,
South Asia,LKA,Sri Lanka,DTP3,96,99,99,99,99,99,99,99,99,99,99,97,98,98,98,99,97,99,98,98,99,99,94,97,92,93,88,90,88,86,86,87,83,77,75,70,66,64,57,45,46
Middle East & North Africa,PSE,State of Palestine,DTP3,99,99,99,99,99,99,99,99,97,99,99,97,96,99,96,96,96,98,97,97,93,89,98,96,97,99,98,94,,,,,,,,,,,,,
Eastern & Southern Africa,SDN,Sudan,DTP3,90,93,93,95,93,93,94,93,92,93,90,81,86,84,78,78,74,69,60,66,62,55,46,55,56,48,46,51,53,62,62,60,40,27,14,8,4,3,2,1,1
Latin America & Caribbean,SUR,Suriname,DTP3,51,77,81,67,77,73,71,76,76,80,94,87,85,84,84,83,85,75,73,68,71,85,90,81,85,84,74,76,74,75,83,72,64,71,80,84,80,85,61,27,25
Western Europe,SWE,Sweden,DTP3,97,98,97,97,98,98,97,98,98,98,98,98,98,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Western Europe,CHE,Switzerland,DTP3,96,96,96,96,96,96,96,96,96,96,95,95,95,94,94,94,93,93,93,93,93,93,88,89,89,89,89,89,89,89,90,90,90,90,90,,,,,,
Middle East & North Africa,SYR,Syrian Arab Republic,DTP3,49,54,47,48,42,41,43,41,45,72,80,80,79,80,80,80,81,83,84,82,84,86,87,87,88,89,89,90,89,89,91,94,59,42,86,29,25,21,15,14,13
Eastern Europe & Central Asia,TJK,Tajikistan,DTP3,97,97,96,96,96,96,97,96,94,96,93,93,86,86,83,84,86,85,85,85,83,82,79,81,75,80,81,64,72,,,,,,,,,,,,
East Asia & Pacific,THA,Thailand,DTP3,,97,97,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,96,96,97,97,96,95,94,96,93,89,85,90,92,84,80,75,66,62,53,49,49,52,49
East Asia & Pacific,TLS,Timor-Leste,DTP3,86,90,83,83,79,76,77,82,83,67,72,72,79,70,63,55,57,55,54,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,TGO,Togo,DTP3,82,84,81,83,82,82,84,84,84,85,83,78,81,82,84,82,71,72,59,50,64,57,42,42,50,58,62,66,69,73,77,72,54,61,37,24,11,18,14,9,
East Asia & Pacific,TON,Tonga,DTP3,99,99,99,99,96,96,98,99,95,99,99,99,99,99,99,99,99,98,90,94,95,94,97,96,99,95,89,96,99,88,94,93,92,99,75,92,51,63,52,37,40
Latin America & Caribbean,TTO,Trinidad and Tobago,DTP3,,93,99,89,97,96,92,92,92,90,90,90,90,88,92,95,94,91,96,91,90,90,91,90,89,89,85,81,87,82,82,77,82,79,70,75,65,60,54,62,26
Middle East & North Africa,TUN,Tunisia,DTP3,92,92,90,92,93,93,94,95,95,98,98,99,99,98,99,98,97,95,96,98,97,99,96,96,95,94,93,94,95,93,93,93,91,84,72,70,66,62,,,
Eastern Europe & Central Asia,TUR,Turkey,DTP3,98,99,98,96,98,97,96,98,97,97,97,96,96,96,90,90,85,68,78,88,85,79,81,79,72,67,87,76,77,72,84,79,86,86,45,55,56,56,58,64,42
Eastern Europe & Central Asia,TKM,Turkmenistan,DTP3,98,99,99,99,98,99,98,98,97,97,96,96,96,98,98,99,97,83,98,95,97,98,99,98,97,93,90,73,84,,,,,,,,,,,,
East Asia & Pacific,TUV,Tuvalu,DTP3,95,92,89,96,94,96,89,90,97,96,89,88,99,97,97,93,98,93,98,96,82,83,94,77,97,87,99,80,70,74,99,85,89,59,73,52,37,79,72,49,36
Eastern & Southern Africa,UGA,Uganda,DTP3,89,93,93,94,93,89,85,84,83,82,80,79,71,73,64,64,62,59,57,55,52,50,48,56,57,59,60,56,53,49,45,42,38,30,21,14,14,14,12,9,
Eastern Europe & Central Asia,UKR,Ukraine,DTP3,81,80,69,50,19,23,23,76,76,50,52,71,90,98,98,96,99,97,99,99,99,99,98,99,99,98,97,93,88,,,,,,,,,,,,
Middle East & North Africa,ARE,United Arab Emirates,DTP3,90,99,99,97,99,99,99,98,96,95,94,93,92,92,92,94,94,94,94,94,94,94,94,92,90,90,90,90,86,85,85,84,82,80,78,76,59,50,43,45,11
Western Europe,GBR,United Kingdom,DTP3,93,93,94,94,94,95,95,95,95,95,94,93,92,92,92,91,92,91,91,91,91,92,91,92,94,94,93,93,92,88,84,78,75,73,67,65,65,59,53,46,41
Eastern & Southern Africa,TZA,United Republic of Tanzania,DTP3,86,89,89,90,92,96,97,91,92,90,91,85,86,83,90,90,95,95,89,87,79,76,79,79,82,81,84,83,83,81,78,77,85,79,74,67,58,52,50,55,59
North America,USA,United States,DTP3,93,94,94,94,95,95,95,94,94,96,95,95,96,96,96,96,96,96,94,94,94,96,96,96,95,95,94,88,83,86,90,94,97,97,97,96,97,97,96,96,96
Latin America & Caribbean,URY,Uruguay,DTP3,92,94,91,93,95,95,95,94,95,95,95,95,94,94,95,96,94,91,95,94,90,93,91,91,91,91,91,92,93,96,97,88,82,85,70,63,62,73,67,57,53
Eastern Europe & Central Asia,UZB,Uzbekistan,DTP3,95,96,98,99,99,99,99,99,99,99,99,98,98,96,96,99,99,98,99,99,99,99,99,96,95,87,67,45,90,,,,,,,,,,,,
East Asia & Pacific,VUT,Vanuatu,DTP3,78,90,85,85,81,80,86,84,82,79,77,75,73,70,68,68,69,69,70,70,71,71,72,72,67,73,74,86,77,83,76,61,58,56,31,30,28,27,22,,
Latin America & Caribbean,VEN,Venezuela (Bolivarian Republic of),DTP3,54,64,60,66,84,87,78,82,81,78,78,84,50,62,71,87,86,68,65,70,77,76,39,60,57,68,63,67,67,64,63,57,56,57,58,49,33,58,53,54,56
East Asia & Pacific,VNM,Viet Nam,DTP3,94,89,75,94,96,97,95,59,97,95,93,96,93,92,94,95,96,99,75,96,96,93,94,95,94,93,94,91,88,88,88,88,70,50,43,42,5,4,,,
Middle East & North Africa,YEM,Yemen,DTP3,72,73,65,68,71,69,73,73,67,69,76,76,78,79,78,79,72,61,65,73,74,71,68,40,47,44,33,54,50,47,84,56,36,18,13,12,7,5,4,3,1
Eastern & Southern Africa,ZMB,Zambia,DTP3,84,88,90,94,95,90,86,79,78,81,83,94,87,80,81,82,83,83,84,85,85,84,84,83,84,86,90,86,83,79,91,83,83,83,66,66,59,49,,,
Eastern & Southern Africa,ZWE,Zimbabwe,DTP3,86,90,89,89,90,87,91,95,95,93,89,73,75,73,70,68,65,68,71,75,78,81,84,86,90,88,87,85,86,87,88,87,85,84,75,63,60,53,46,39,